Series_Title,Genre,Rating,No_of_Votes,Weighted Rating,Rating Anomalies
Udaan,Drama,8.2,42341,347196.19999999995,No
Paan Singh Tomar,Action,8.2,33237,272543.39999999997,No
Paan Singh Tomar,Biography,8.2,33237,272543.39999999997,No
Paan Singh Tomar,Crime,8.2,33237,272543.39999999997,No
El secreto de sus ojos,Drama,8.2,193217,1584379.4,No
El secreto de sus ojos,Mystery,8.2,193217,1584379.4,No
El secreto de sus ojos,Romance,8.2,193217,1584379.4,No
Warrior,Action,8.2,435950,3574789.9999999995,No
Warrior,Drama,8.2,435950,3574789.9999999995,No
Warrior,Sport,8.2,435950,3574789.9999999995,No
Shutter Island,Mystery,8.2,1129894,9265130.799999999,No
Shutter Island,Thriller,8.2,1129894,9265130.799999999,No
Up,Animation,8.2,935507,7671157.399999999,No
Up,Adventure,8.2,935507,7671157.399999999,No
Up,Comedy,8.2,935507,7671157.399999999,No
The Wolf of Wall Street,Biography,8.2,1187498,9737483.6,No
The Wolf of Wall Street,Crime,8.2,1187498,9737483.6,No
The Wolf of Wall Street,Drama,8.2,1187498,9737483.6,No
Chak De! India,Drama,8.2,74129,607857.7999999999,No
Chak De! India,Family,8.2,74129,607857.7999999999,No
Chak De! India,Sport,8.2,74129,607857.7999999999,No
There Will Be Blood,Drama,8.2,517359,4242343.8,No
Pan's Labyrinth,Drama,8.2,618623,5072708.6,No
Pan's Labyrinth,Fantasy,8.2,618623,5072708.6,No
Pan's Labyrinth,War,8.2,618623,5072708.6,No
Toy Story 3,Animation,8.2,757032,6207662.399999999,No
Toy Story 3,Adventure,8.2,757032,6207662.399999999,No
Toy Story 3,Comedy,8.2,757032,6207662.399999999,No
V for Vendetta,Action,8.2,1032749,8468541.799999999,No
V for Vendetta,Drama,8.2,1032749,8468541.799999999,No
V for Vendetta,Sci-Fi,8.2,1032749,8468541.799999999,No
Rang De Basanti,Comedy,8.2,111937,917883.3999999999,No
Rang De Basanti,Crime,8.2,111937,917883.3999999999,No
Rang De Basanti,Drama,8.2,111937,917883.3999999999,No
Black,Drama,8.2,33354,273502.8,No
Batman Begins,Action,8.2,1308302,10728076.399999999,No
Batman Begins,Adventure,8.2,1308302,10728076.399999999,No
"Swades: We, the People",Drama,8.2,83005,680640.9999999999,No
Der Untergang,Biography,8.2,331308,2716725.5999999996,No
Der Untergang,Drama,8.2,331308,2716725.5999999996,No
Der Untergang,History,8.2,331308,2716725.5999999996,No
Hauru no ugoku shiro,Animation,8.2,333915,2738102.9999999995,No
Hauru no ugoku shiro,Adventure,8.2,333915,2738102.9999999995,No
Hauru no ugoku shiro,Family,8.2,333915,2738102.9999999995,No
A Beautiful Mind,Biography,8.2,848920,6961143.999999999,No
A Beautiful Mind,Drama,8.2,848920,6961143.999999999,No
Hera Pheri,Action,8.2,57057,467867.39999999997,No
Hera Pheri,Comedy,8.2,57057,467867.39999999997,No
Hera Pheri,Crime,8.2,57057,467867.39999999997,No
"Lock, Stock and Two Smoking Barrels",Action,8.2,535216,4388771.199999999,No
"Lock, Stock and Two Smoking Barrels",Comedy,8.2,535216,4388771.199999999,No
"Lock, Stock and Two Smoking Barrels",Crime,8.2,535216,4388771.199999999,No
L.A. Confidential,Crime,8.2,531967,4362129.399999999,No
L.A. Confidential,Drama,8.2,531967,4362129.399999999,No
L.A. Confidential,Mystery,8.2,531967,4362129.399999999,No
Eskiya,Crime,8.2,64118,525767.6,No
Eskiya,Drama,8.2,64118,525767.6,No
Eskiya,Thriller,8.2,64118,525767.6,No
Heat,Crime,8.2,577113,4732326.6,No
Heat,Drama,8.2,577113,4732326.6,No
Heat,Thriller,8.2,577113,4732326.6,No
Casino,Crime,8.2,466276,3823463.1999999997,No
Casino,Drama,8.2,466276,3823463.1999999997,No
Andaz Apna Apna,Action,8.2,49300,404259.99999999994,No
Andaz Apna Apna,Comedy,8.2,49300,404259.99999999994,No
Andaz Apna Apna,Romance,8.2,49300,404259.99999999994,No
Unforgiven,Drama,8.2,375935,3082666.9999999995,No
Unforgiven,Western,8.2,375935,3082666.9999999995,No
Indiana Jones and the Last Crusade,Action,8.2,692366,5677401.199999999,No
Indiana Jones and the Last Crusade,Adventure,8.2,692366,5677401.199999999,No
Dom za vesanje,Comedy,8.2,26402,216496.4,No
Dom za vesanje,Crime,8.2,26402,216496.4,No
Dom za vesanje,Drama,8.2,26402,216496.4,No
Tonari no Totoro,Animation,8.2,291180,2387676.0,No
Tonari no Totoro,Family,8.2,291180,2387676.0,No
Tonari no Totoro,Fantasy,8.2,291180,2387676.0,No
Die Hard,Action,8.2,793164,6503944.8,No
Die Hard,Thriller,8.2,793164,6503944.8,No
Ran,Action,8.2,112505,922540.9999999999,No
Ran,Drama,8.2,112505,922540.9999999999,No
Ran,War,8.2,112505,922540.9999999999,No
Raging Bull,Biography,8.2,321860,2639252.0,No
Raging Bull,Drama,8.2,321860,2639252.0,No
Raging Bull,Sport,8.2,321860,2639252.0,No
Stalker,Drama,8.2,116945,958948.9999999999,No
Stalker,Sci-Fi,8.2,116945,958948.9999999999,No
Höstsonaten,Drama,8.2,26875,220374.99999999997,No
Höstsonaten,Music,8.2,26875,220374.99999999997,No
The Message,Biography,8.2,43885,359856.99999999994,No
The Message,Drama,8.2,43885,359856.99999999994,No
The Message,History,8.2,43885,359856.99999999994,No
Sholay,Action,8.2,51284,420528.8,No
Sholay,Adventure,8.2,51284,420528.8,No
Sholay,Comedy,8.2,51284,420528.8,No
Monty Python and the Holy Grail,Adventure,8.2,500875,4107174.9999999995,No
Monty Python and the Holy Grail,Comedy,8.2,500875,4107174.9999999995,No
Monty Python and the Holy Grail,Fantasy,8.2,500875,4107174.9999999995,No
The Great Escape,Adventure,8.2,224730,1842785.9999999998,No
The Great Escape,Drama,8.2,224730,1842785.9999999998,No
The Great Escape,History,8.2,224730,1842785.9999999998,No
To Kill a Mockingbird,Crime,8.2,293811,2409250.1999999997,No
To Kill a Mockingbird,Drama,8.2,293811,2409250.1999999997,No
Yôjinbô,Action,8.2,111244,912200.7999999999,No
Yôjinbô,Drama,8.2,111244,912200.7999999999,No
Yôjinbô,Thriller,8.2,111244,912200.7999999999,No
Judgment at Nuremberg,Drama,8.2,69458,569555.6,No
Judgment at Nuremberg,War,8.2,69458,569555.6,No
Some Like It Hot,Comedy,8.2,243943,2000332.5999999999,No
Some Like It Hot,Music,8.2,243943,2000332.5999999999,No
Some Like It Hot,Romance,8.2,243943,2000332.5999999999,No
Smultronstället,Drama,8.2,96381,790324.2,No
Smultronstället,Romance,8.2,96381,790324.2,No
Det sjunde inseglet,Drama,8.2,164939,1352499.7999999998,No
Det sjunde inseglet,Fantasy,8.2,164939,1352499.7999999998,No
Det sjunde inseglet,History,8.2,164939,1352499.7999999998,No
Du rififi chez les hommes,Crime,8.2,28810,236241.99999999997,No
